Collation	Charset	Id	Default	Compiled	Sortlen
keybcs2_general_ci	keybcs2	37	Yes		0
keybcs2_bin	keybcs2	73			0
macce_general_ci	macce	38	Yes		0
macce_bin	macce	43			0
macroman_general_ci	macroman	39	Yes		0
macroman_bin	macroman	53			0
cp852_general_ci	cp852	40	Yes		0
cp852_bin	cp852	81			0
latin7_estonian_cs	latin7	20			0
latin7_general_ci	latin7	41	Yes		0
latin7_general_cs	latin7	42			0
latin7_bin	latin7	79			0
cp1251_bulgarian_ci	cp1251	14			0
cp1251_ukrainian_ci	cp1251	23			0
cp1251_bin	cp1251	50			0
cp1251_general_ci	cp1251	51	Yes		0
cp1251_general_cs	cp1251	52			0
cp1256_general_ci	cp1256	57	Yes		0
cp1256_bin	cp1256	67			0
cp1257_lithuanian_ci	cp1257	29			0
cp1257_bin	cp1257	58			0
cp1257_general_ci	cp1257	59	Yes		0
binary	binary	63	Yes	Yes	1
geostd8_general_ci	geostd8	92	Yes		0
geostd8_bin	geostd8	93			0
cp932_japanese_ci	cp932	95	Yes	Yes	1
cp932_bin	cp932	96		Yes	1
eucjpms_japanese_ci	eucjpms	97	Yes	Yes	1
eucjpms_bin	eucjpms	98		Yes	1
